index,Date,value,VOO,VWO,VOO_%_change,VWO_%_change
59,2015-09-01,0.14,146.95835876464844,24.774599075317383,-8.718522976604003,-11.939524013331692
60,2015-10-01,0.12,148.26171875,25.122577667236328,0.88689067863017,1.4045780957385068
61,2015-11-01,0.12,162.2464599609375,26.863004684448242,9.432469371624297,6.927740617483269
62,2015-12-01,0.24,162.58306884765625,25.909555435180664,0.20746763091150644,-3.5493023229064113
63,2016-01-01,0.34,156.00967407226562,24.165786743164062,-4.043099211978851,-6.730214635982779
64,2016-02-01,0.38,150.32147216796875,23.20766830444336,-3.6460571680074327,-3.9647723821436665
65,2016-03-01,0.36,153.84278869628906,24.219013214111328,2.342523977137212,4.357804913448948
66,2016-04-01,0.37,161.49339294433594,26.416017532348633,4.973001538050914,9.071403111325814
67,2016-05-01,0.37,162.31036376953125,26.537893295288086,0.5058849840853252,0.4613706921953842
68,2016-06-01,0.38,164.1570281982422,25.722864151000977,1.137736608940787,-3.0711900723175423
69,2016-07-01,0.39,164.72079467773438,27.212703704833984,0.3434312168537623,5.791888279186952
70,2016-08-01,0.4,170.2371826171875,28.29384994506836,3.3489323252996472,3.9729467970590626
71,2016-09-01,0.4,170.6049346923828,28.77691650390625,0.21602335608565948,1.7073199998435928
72,2016-10-01,0.4,170.14739990234375,29.395978927612305,-0.26818379601037945,2.1512465507623757
73,2016-11-01,0.41,166.46200561523438,29.07781410217285,-2.166000943431756,-1.082341316895541
74,2016-12-01,0.54,173.19717407226562,27.789600372314453,4.046069511260808,-4.430228920688151
75,2017-01-01,0.65,178.71463012695312,28.20437240600586,3.1856501610040056,1.4925440745259033
76,2017-02-01,0.66,180.6682891845703,29.568973541259766,1.0931724259112707,4.838260946247219
77,2017-03-01,0.79,190.3067626953125,30.652868270874023,5.334900526398156,3.665648819705636
78,2017-04-01,0.9,187.65728759765625,31.26986312866211,-1.3922127937713635,2.0128454288055764
79,2017-05-01,0.91,190.30604553222656,31.63701057434082,1.411486848434751,1.1741255283659324
80,2017-06-01,1.04,194.01441955566406,32.058834075927734,1.9486370036571055,1.3333228833227073
81,2017-07-01,1.15,194.15162658691406,32.244483947753906,0.07072001739059086,0.5790911528051224
82,2017-08-01,1.16,198.16464233398438,33.95024490356445,2.066949331106338,5.2900860766585955
83,2017-09-01,1.15,198.63572692871094,35.074317932128906,0.23772383871216718,3.310942326800226
84,2017-10-01,1.15,203.1957244873047,34.68218231201172,2.2956583033173494,-1.1180135302302774
85,2017-11-01,1.16,207.41339111328125,35.58086013793945,2.0756670134760125,2.5911801565511317
86,2017-12-01,1.3,212.99024963378906,35.032100677490234,2.688764930062759,-1.5422883491905348
87,2018-01-01,1.41,217.70787048339844,37.31605529785156,2.2149468615210166,6.519605094161185
88,2018-02-01,1.42,227.96372985839844,39.449546813964844,4.71083537413135,5.717355436109339
89,2018-03-01,1.51,216.79153442382812,37.68362808227539,-4.900865344460725,-4.47639801799784
90,2018-04-01,1.69,209.3125,37.06035614013672,-3.449873835574502,-1.6539594881306852
91,2018-05-01,1.7,215.4729461669922,36.36381912231445,2.9431812084764086,-1.8794666062798782
92,2018-06-01,1.82,222.52732849121094,36.11562728881836,3.273906283692618,-0.6825241118411318
93,2018-07-01,1.91,222.13638305664062,33.63407897949219,-0.1756842349301624,-6.871120607932724
94,2018-08-01,1.91,229.49948120117188,35.09257507324219,3.314674545076124,4.336364003424298
95,2018-09-01,1.95,236.8535614013672,33.11836242675781,3.2043994878354187,-5.625727500372857
96,2018-10-01,2.19,239.4334716796875,33.50144577026367,1.089242763780307,1.1567097991425745
97,2018-11-01,2.2,224.54257202148438,31.96901512145996,-6.219222213895003,-4.574222435987874
98,2018-12-01,2.27,229.22328186035156,32.996063232421875,2.084553408615686,3.2126360698315093
99,2019-01-01,2.4,206.55662536621094,31.409460067749023,-9.888461726130293,-4.808462008018754
100,2019-02-01,2.4,222.92921447753906,34.03581619262695,7.926441033929854,8.361672308957168
101,2019-03-01,2.41,231.5600128173828,34.1999626159668,3.871542076739942,0.48227556057669485
102,2019-04-01,2.42,237.10836791992188,35.4759521484375,2.396076522467072,3.7309676235581346
103,2019-05-01,2.39,242.0848846435547,35.50062942504883,2.098836395902115,0.06956057587426123
104,2019-06-01,2.38,227.7064208984375,33.617462158203125,-5.939430611823626,-5.304602474222508
105,2019-07-01,2.4,246.4294891357422,35.720458984375,8.222459500013679,6.255668010497684
106,2019-08-01,2.13,245.83938598632812,33.948509216308594,-0.23946125582763322,-4.960601902796102
107,2019-09-01,2.04,242.49842834472656,33.27781677246094,-1.3590001570323529,-1.9756167776741718
108,2019-10-01,1.83,245.6686248779297,33.521644592285156,1.3073060121843394,0.7327037752849153
109,2019-11-01,1.55,256.5054016113281,35.63456726074219,4.411135829324198,6.3031593293108035
110,2019-12-01,1.55,261.1575012207031,35.27403259277344,1.8136458648243758,-1.0117554264955086
111,2020-01-01,1.55,273.53240966796875,38.6585578918457,4.738484780036112,9.59494860750809
112,2020-02-01,1.58,273.00067138671875,35.92451858520508,-0.19439681092835448,-7.072274434782577
113,2020-03-01,0.65,260.1957702636719,35.066951751708984,-4.690428436678862,-2.3871352136901502
114,2020-04-01,0.05,208.2625732421875,27.52749252319336,-19.959277957845888,-21.500184224447704
115,2020-05-01,0.05,239.26943969726562,29.739229202270508,14.888352704170416,8.034646371127497
116,2020-06-01,0.08,258.7466735839844,32.50388717651367,8.140293182180812,9.296333658950683
